	Arid1a_fold_change
1415670_at	0.916263720448485
1415671_at	1.02223625661169
1415672_at	1.01472519993657
1415673_at	0.844033602570688
1415674_a_at	0.995492217246213
1415675_at	1.06225675730932
1415676_a_at	0.993581020576969
1415677_at	1.00286390816478
1415678_at	1.09889141135518
1415679_at	0.961830427553953
1415680_at	0.87083463960208
1415681_at	0.989961105719453
1415682_at	0.973092400500845
1415683_at	1.03239517550246
1415684_at	0.95323842403569
1415685_at	0.868004046361047
1415686_at	0.969664666432923
1415687_a_at	1.1638512118918
1415688_at	0.981722444750143
1415689_s_at	1.06333859202395
1415690_at	0.981966810338223
1415691_at	0.996455007629135
1415692_s_at	0.992990955869605
1415693_at	1.07083507448735
1415694_at	1.18954940969015
1415695_at	0.899444449117789
1415696_at	1.03933378485505
1415697_at	1.01291007839087
1415698_at	1.32903770790188
1415699_a_at	1.07397028064264
1415700_a_at	1.06380971221688
1415701_x_at	1.06561986944848
1415702_a_at	0.967195253149868
1415703_at	0.949944731064065
1415704_a_at	1.07228103539258
1415705_at	0.884832345466463
1415706_at	1.03327306330433
1415707_at	0.955546961962432
1415708_at	1.01800743362935
1415709_s_at	1.16377080998861
1415710_at	1.07199667407076
1415711_at	0.882794051884395
1415712_at	0.947433307151421
1415713_a_at	0.917670973208066
1415714_a_at	0.965489279987794
1415715_at	1.00821767127583
1415716_a_at	1.02234100733081
1415717_at	1.04730489974176
1415718_at	1.12325229535743
1415719_s_at	1.06604582705169
1415720_s_at	1.0615802717095
1415721_a_at	1.11329025449812
1415722_a_at	0.951729270284901
1415723_at	0.930680427673809
1415724_a_at	0.916838190950457
1415725_at	0.899448688461469
1415726_at	0.862392199002394
1415727_at	0.957085964500288
1415728_at	1.02063039000859
1415729_at	1.01227246338124
1415730_at	0.951570108229774
1415731_at	0.982926091491028
1415732_at	1.13272104186238
1415733_a_at	0.997912576194655
1415734_at	1.16072656795549
1415735_at	0.985179627437376
1415736_at	1.00248697033218
1415737_at	0.92896463337759
1415738_at	1.1517173212185
1415739_at	1.12698965824496
1415740_at	1.05376177025095
1415741_at	0.937927642261538
1415742_at	1.09832223099428
1415743_at	1.13009660118767
1415744_at	1.02241976044767
1415745_a_at	0.977689179376622
1415746_at	1.00502156779932
1415747_s_at	1.01077331977572
1415748_a_at	1.08758638838573
1415749_a_at	1.01257453149189
1415750_at	1.00743458083259
1415751_at	1.06466696985139
1415752_at	1.04038909491073
1415753_at	1.08098506990621
1415754_at	0.929129848107856
1415755_a_at	1.02494550730891
1415756_a_at	1.01017021735189
1415757_at	1.18797232088337
1415758_at	0.926852716275548
1415759_a_at	1.02135990215457
1415760_s_at	1.02204247741817
1415761_at	0.992531161049034
1415762_x_at	0.988162661122427
1415763_a_at	1.01349493631412
1415764_at	1.02697339285518
1415765_at	0.989082908551461
1415766_at	0.993610793299415
1415767_at	1.00634283084818
1415768_a_at	0.951615175034904
1415769_at	1.01399542683016
1415770_at	1.04260007773857
1415771_at	0.979147467595856
1415772_at	0.877324930305202
1415773_at	0.825964827192134
1415774_at	0.975903939596497
1415775_at	0.929592309882138
1415776_at	1.12067473352309
1415777_at	1.20357245039155
1415778_at	0.952897309704222
1415779_s_at	0.978497966991227
1415780_a_at	1.01032117653746
1415781_a_at	0.943449298193588
1415782_at	0.956482730463649
1415783_at	0.969527607984022
1415784_at	0.79557045727291
1415785_a_at	0.941443577865072
1415786_at	1.01610149593389
1415787_at	0.944879263303242
1415788_at	1.0699275279212
1415789_a_at	1.07903502377712
1415790_at	1.10866270168674
1415791_at	1.04303575551022
1415792_at	0.994036343722735
1415793_at	0.986660141153602
1415794_a_at	0.984824800589752
1415795_at	0.906376185243032
1415796_at	1.04000934189975
1415797_at	0.782870734253247
1415798_at	0.862964427701448
1415799_at	0.948147445673554
1415800_at	0.764342618596118
1415801_at	0.968477639449477
1415802_at	1.0030219362819
1415803_at	0.875271050500521
1415804_at	1.08291516354057
1415805_at	1.12438268492753
1415806_at	1.04291348976977
1415807_s_at	0.969576212756409
1415808_at	1.04885586901018
1415809_at	1.04765313865264
1415810_at	0.552585622561191
1415811_at	0.788256167797565
1415812_at	1.17966360731124
1415813_at	1.01516573415248
1415814_at	1.0063374441221
1415815_at	0.998011317172497
1415816_at	1.00392788666571
1415817_s_at	0.997347427649331
1415818_at	1.37657123279772
1415819_a_at	1.13750861862342
1415820_x_at	0.933629546747303
1415821_at	0.999763045082867
1415822_at	0.757363464961463
1415823_at	0.734866807139399
1415824_at	0.736443629251579
1415825_s_at	1.14107021426668
1415826_at	1.03524274573795
1415827_a_at	0.972290389286415
1415828_a_at	1.01519733156977
1415829_at	0.978552562079598
1415830_at	0.965494644531552
1415831_at	0.942014938180825
1415832_at	1.20121664401675
1415833_x_at	1.03446924714315
1415834_at	1.27811828240378
1415835_at	0.944726129373393
1415836_at	0.843123232469963
1415837_at	1.11693076176191
1415838_at	0.982127968453691
1415839_a_at	0.978129126317028
1415840_at	0.910109788832452
1415841_at	0.993565386249576
